,Food,Food: Vegetables & Fruits,"Food: Fish, Seafood & Preparations",Food: Meat & Meat Preparations,"Food: Coffee, Tea, Spices & Manufactures",BeveragesTobacco (BT),BT: Beverages,BT: Tobacco & Manufactures,Crude Materials (CM),CM: Metalliferous Ores & Metal Scrap,CM: Crude Rubber,CM: Crude Minerals & Fertilisers,CM: Crude Vegetable & Animal Materials,Mineral Fuels,Mineral Fuels: Petroleum & Pdt & Related Materials,Mineral Fuels: Petroleum,Mineral Fuels: Coal: Coke,Mineral Fuels: Gas,AnimalVegetable Oils (AV),AV: Animal or Vegetable Fats & Oils Nes,AV: Fixed Vegetables Fats & Oils,ChemicalsChemical Products (CH),CH: Medicinal & Pharmaceutical Products,CH: Organic Chemicals,CH: Plastics in Primary Forms,CH: Plastics in Non-primary Forms ,CH: Essential Oils & Resinoids & Perfume Materials,Manufactured Goods (MG),MG: Iron & Steels,MG: Metal Manufactures,MG: Non-ferrous Metals,MG: Non-metallic Mineral Manufactures,MG: Paper & Paperboard ,MG: Rubber Manufactures,MG: Textile Manufactures,MachineryTransport Equipment (MT),MT: Office & Automatic Data-processing Machines ,MT: Telecommunications & Reproducing Apparatus & Equip ,MT: Electrical Machinery Apparatus & Appliances Nes ,MT: Electronics Valves,MT: Parts for Office & DP Machines,MT: Communication Equipment,MT: Electrical Machinery,MT: Electrical Circuit Apparatus,Miscellaneous Manufactured Articles (MM),MM: Disc Media Products & Plastic Articles,MM: Scientific Instruments & Apparatus,"MM: Photographic Supplies, Watches & Optical Goods",MM: Articles of Apparel & Clothing Accessories ,MM: Footwear,Miscellaneous Manufactured Articles Nes,Miscellaneous Transactions Nes,(DC)MT: Data Processing Machines
Dec-63,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-64,65.4,,,,,7,,,52.8,,,,,51.2,,,,,4,,,13.8,,,,,,48.5,,,,,,,,39.2,,,,,,,,,33.1,,,,,,,7.1,
Feb-64,55.8,,,,,5.3,,,49,,,,,26.1,,,,,2.3,,,12.6,,,,,,42.4,,,,,,,,34.9,,,,,,,,,30.6,,,,,,,5.1,
Mar-64,58.2,,,,,5.2,,,44.7,,,,,52,,,,,2.4,,,12.9,,,,,,41.8,,,,,,,,37.5,,,,,,,,,19.8,,,,,,,6.2,
Apr-64,51.8,,,,,4.7,,,49.5,,,,,37.7,,,,,2.1,,,14.4,,,,,,46.3,,,,,,,,52.3,,,,,,,,,23.3,,,,,,,5.8,
May-64,56.2,,,,,4.3,,,50.7,,,,,49.1,,,,,2.8,,,14.1,,,,,,43.7,,,,,,,,46,,,,,,,,,20.2,,,,,,,4.8,
Jun-64,61.2,,,,,4,,,56.5,,,,,38.8,,,,,3,,,13.5,,,,,,43.4,,,,,,,,43.7,,,,,,,,,22.2,,,,,,,8.4,
Jul-64,55,,,,,4,,,50.7,,,,,25.6,,,,,2.6,,,14,,,,,,42,,,,,,,,39.1,,,,,,,,,21.3,,,,,,,4.6,
Aug-64,56.2,,,,,4.1,,,52.9,,,,,49.4,,,,,3.5,,,12.3,,,,,,44.9,,,,,,,,40.7,,,,,,,,,21.5,,,,,,,5.1,
Sep-64,70,,,,,5.8,,,55.4,,,,,46.2,,,,,3,,,12.8,,,,,,51.6,,,,,,,,37.5,,,,,,,,,20.7,,,,,,,5.3,
Oct-64,64.6,,,,,6.4,,,58.6,,,,,37.6,,,,,4.5,,,15.1,,,,,,49.5,,,,,,,,41.3,,,,,,,,,23.8,,,,,,,11.1,
Nov-64,52.3,,,,,4.9,,,50.8,,,,,25.9,,,,,2.5,,,12.4,,,,,,48,,,,,,,,39.5,,,,,,,,,20.9,,,,,,,5.5,
Dec-64,58.8,,,,,5.9,,,60.7,,,,,30.1,,,,,4.4,,,15.6,,,,,,53.6,,,,,,,,43,,,,,,,,,25.3,,,,,,,6.9,
Jan-65,63.6,,,,,9.4,,,59.2,,,,,43.7,,,,,4.7,,,15.9,,,,,,61,,,,,,,,42.1,,,,,,,,,23.8,,,,,,,5.4,
Feb-65,61.1,,,,,4.1,,,55.3,,,,,41.4,,,,,4.6,,,15.4,,,,,,43.6,,,,,,,,40.4,,,,,,,,,21.6,,,,,,,6.6,
Mar-65,65.2,,,,,7.3,,,64.2,,,,,45.2,,,,,5.5,,,16.7,,,,,,58.7,,,,,,,,54.4,,,,,,,,,24.4,,,,,,,6.8,
Apr-65,54.7,,,,,5.5,,,53.4,,,,,42.9,,,,,4.7,,,15.2,,,,,,48.9,,,,,,,,43.8,,,,,,,,,24.3,,,,,,,5.5,
May-65,64.8,,,,,5.7,,,51.8,,,,,45.8,,,,,5.2,,,16.1,,,,,,56.9,,,,,,,,50.2,,,,,,,,,22.9,,,,,,,7.6,
Jun-65,52.4,,,,,4.5,,,54.5,,,,,47.1,,,,,4.9,,,14.9,,,,,,47.5,,,,,,,,42,,,,,,,,,21.3,,,,,,,5.4,
Jul-65,65.2,,,,,4.3,,,57.1,,,,,25.3,,,,,5.8,,,14.3,,,,,,49.6,,,,,,,,44.4,,,,,,,,,23.7,,,,,,,7.6,
Aug-65,63.6,,,,,5.1,,,56.9,,,,,44,,,,,4.4,,,15.3,,,,,,53,,,,,,,,58.7,,,,,,,,,24.7,,,,,,,6.7,
Sep-65,67.6,,,,,5,,,57.7,,,,,42.2,,,,,4.7,,,14.5,,,,,,51.2,,,,,,,,43.4,,,,,,,,,23.6,,,,,,,7.6,
Oct-65,64.1,,,,,5.1,,,58.3,,,,,40.8,,,,,2.8,,,15.5,,,,,,51.6,,,,,,,,40.6,,,,,,,,,21,,,,,,,6.4,
Nov-65,58.2,,,,,5.5,,,60.8,,,,,54.3,,,,,6.1,,,16.1,,,,,,56.4,,,,,,,,44.8,,,,,,,,,26.5,,,,,,,8.5,
Dec-65,62.8,,,,,8.8,,,73.6,,,,,35.6,,,,,4.1,,,17.4,,,,,,47.6,,,,,,,,45.3,,,,,,,,,24.3,,,,,,,5.5,
Jan-66,57.9,,,,,6.1,,,68,,,,,38.2,,,,,3.6,,,14.8,,,,,,53.3,,,,,,,,44,,,,,,,,,24,,,,,,,8.1,
Feb-66,66.6,,,,,4.1,,,71.5,,,,,55.4,,,,,4.5,,,15.6,,,,,,54.7,,,,,,,,44.3,,,,,,,,,21.9,,,,,,,9,
Mar-66,71.6,,,,,4.7,,,67.3,,,,,49.2,,,,,5.7,,,16.9,,,,,,47.8,,,,,,,,47.8,,,,,,,,,22.5,,,,,,,8.5,
Apr-66,60.8,,,,,4.8,,,54.4,,,,,48.9,,,,,4,,,15.3,,,,,,46.9,,,,,,,,55.6,,,,,,,,,20.3,,,,,,,5.3,
May-66,73.8,,,,,4.8,,,60.5,,,,,60.7,,,,,6.8,,,18.5,,,,,,56,,,,,,,,45.9,,,,,,,,,25.2,,,,,,,7.1,
Jun-66,53.6,,,,,4.2,,,53.1,,,,,49.2,,,,,3.7,,,15.4,,,,,,45.6,,,,,,,,40,,,,,,,,,24.3,,,,,,,6.4,
Jul-66,70.5,,,,,6.3,,,65.2,,,,,42.3,,,,,4.7,,,17.5,,,,,,53.9,,,,,,,,41,,,,,,,,,25.1,,,,,,,9.9,
Aug-66,67,,,,,5.8,,,61.1,,,,,57.2,,,,,3.7,,,18.3,,,,,,57.6,,,,,,,,49.4,,,,,,,,,25.4,,,,,,,10.1,
Sep-66,68.1,,,,,5.8,,,68.7,,,,,58.7,,,,,6.2,,,17,,,,,,52.5,,,,,,,,40.8,,,,,,,,,23.6,,,,,,,7,
Oct-66,59.2,,,,,5.1,,,64.4,,,,,50.8,,,,,5.1,,,17.6,,,,,,56.8,,,,,,,,43.9,,,,,,,,,28.5,,,,,,,5.7,
Nov-66,60.7,,,,,5.9,,,59.2,,,,,56.6,,,,,4.9,,,17.4,,,,,,62.1,,,,,,,,46,,,,,,,,,29.2,,,,,,,4.4,
Dec-66,60.5,,,,,7.6,,,59.9,,,,,53.7,,,,,5,,,17,,,,,,65.6,,,,,,,,57,,,,,,,,,30.2,,,,,,,6.6,
Jan-67,58.2,,,,,6,,,61.8,,,,,56.9,,,,,4.7,,,16.2,,,,,,69.5,,,,,,,,42.9,,,,,,,,,25.6,,,,,,,5.6,
Feb-67,64.5,,,,,5.5,,,53.1,,,,,66.2,,,,,5.3,,,18.6,,,,,,55.4,,,,,,,,39.2,,,,,,,,,26.1,,,,,,,4.3,
Mar-67,67.7,,,,,4.9,,,59,,,,,58.6,,,,,5,,,18.8,,,,,,62.7,,,,,,,,49.8,,,,,,,,,30.8,,,,,,,6.2,
Apr-67,80.5,,,,,7.7,,,60.9,,,,,55.5,,,,,5.6,,,18.5,,,,,,58.9,,,,,,,,54.2,,,,,,,,,30.8,,,,,,,7.5,
May-67,73.5,,,,,6.7,,,51.1,,,,,73.9,,,,,6.5,,,20.7,,,,,,63.3,,,,,,,,49.3,,,,,,,,,33.3,,,,,,,5.7,
Jun-67,82.9,,,,,6.7,,,52,,,,,63.4,,,,,5.3,,,22.5,,,,,,64.3,,,,,,,,48.3,,,,,,,,,29.9,,,,,,,5.8,
Jul-67,67.7,,,,,5.7,,,51.4,,,,,47.5,,,,,4.4,,,17.8,,,,,,57.8,,,,,,,,43.2,,,,,,,,,32.1,,,,,,,5.7,
Aug-67,72.1,,,,,6.6,,,56,,,,,71.4,,,,,5.4,,,19.2,,,,,,62.8,,,,,,,,48,,,,,,,,,39.4,,,,,,,6.9,
Sep-67,62.4,,,,,5.4,,,52.7,,,,,59.4,,,,,5.7,,,19.6,,,,,,65.4,,,,,,,,47.1,,,,,,,,,30,,,,,,,9.5,
Oct-67,62.2,,,,,6.5,,,51.9,,,,,66.6,,,,,6.4,,,21.4,,,,,,81.5,,,,,,,,52.2,,,,,,,,,34,,,,,,,8,
Nov-67,60.6,,,,,5.8,,,45.1,,,,,64.2,,,,,4.1,,,21.6,,,,,,79.4,,,,,,,,52,,,,,,,,,36.1,,,,,,,10.1,
Dec-67,59.5,,,,,6.3,,,42.4,,,,,55.2,,,,,6.3,,,21.9,,,,,,76.2,,,,,,,,52.8,,,,,,,,,34.7,,,,,,,8.8,
Jan-68,59.3,,,,,4.5,,,46,,,,,75.2,,,,,4.8,,,16,,,,,,72.1,,,,,,,,39,,,,,,,,,32.7,,,,,,,9.1,
Feb-68,96.3,,,,,6,,,45.9,,,,,81.6,,,,,5.8,,,21.2,,,,,,63.9,,,,,,,,48,,,,,,,,,26.8,,,,,,,7.8,
Mar-68,85.2,,,,,6.2,,,59.4,,,,,76.8,,,,,6.3,,,17.5,,,,,,78.3,,,,,,,,51.4,,,,,,,,,33.5,,,,,,,10.7,
Apr-68,75.8,,,,,5.6,,,43.3,,,,,44.9,,,,,5.6,,,21.1,,,,,,72.6,,,,,,,,75.9,,,,,,,,,27.2,,,,,,,9.1,
May-68,100.8,,,,,10.4,,,42.5,,,,,88.6,,,,,4.5,,,27.9,,,,,,99.3,,,,,,,,68.1,,,,,,,,,39.4,,,,,,,7.5,
Jun-68,68.3,,,,,6.5,,,41,,,,,74.9,,,,,3,,,19.6,,,,,,84.9,,,,,,,,88.9,,,,,,,,,31.2,,,,,,,15.1,
Jul-68,76.7,,,,,8.2,,,51.7,,,,,70.3,,,,,3,,,21.1,,,,,,96.7,,,,,,,,68.1,,,,,,,,,39,,,,,,,10.7,
Aug-68,68.2,,,,,6.7,,,48.9,,,,,76.7,,,,,3,,,21.6,,,,,,103.4,,,,,,,,56.8,,,,,,,,,31.4,,,,,,,12.7,
Sep-68,62.3,,,,,9.6,,,52.4,,,,,79.5,,,,,3.5,,,20.2,,,,,,98.8,,,,,,,,59.6,,,,,,,,,34.8,,,,,,,7.4,
Oct-68,67.4,,,,,11.6,,,56.9,,,,,75.9,,,,,3,,,21.6,,,,,,101.8,,,,,,,,60.6,,,,,,,,,36.1,,,,,,,7.9,
Nov-68,65.7,,,,,13.1,,,53,,,,,72.3,,,,,3.4,,,24.8,,,,,,97,,,,,,,,55.2,,,,,,,,,38.3,,,,,,,7.3,
Dec-68,63.2,,,,,7.1,,,53.5,,,,,58.6,,,,,2.6,,,21.1,,,,,,90.1,,,,,,,,75.7,,,,,,,,,35.8,,,,,,,9.5,
Jan-69,88,,,,,14.8,,,72.9,,,,,80,,,,,5,,,28.1,,,,,,102.7,,,,,,,,67.1,,,,,,,,,40,,,,,,,11,
Feb-69,58.7,,,,,11.6,,,63.8,,,,,70.4,,,,,4,,,23,,,,,,73.9,,,,,,,,49.9,,,,,,,,,27,,,,,,,6.6,
Mar-69,81.2,,,,,9.4,,,68.7,,,,,96.1,,,,,7.5,,,24,,,,,,99.8,,,,,,,,63.7,,,,,,,,,36.7,,,,,,,8.5,
Apr-69,70.6,,,,,10.2,,,62.3,,,,,75.9,,,,,7.2,,,26.1,,,,,,104.2,,,,,,,,93,,,,,,,,,31.9,,,,,,,9,
May-69,77.2,,,,,9.4,,,57,,,,,81.8,,,,,6.4,,,24.7,,,,,,95.4,,,,,,,,82.8,,,,,,,,,37,,,,,,,11.8,
Jun-69,75.1,,,,,12.5,,,68.6,,,,,70.6,,,,,6.7,,,26.8,,,,,,99.9,,,,,,,,88.8,,,,,,,,,34.2,,,,,,,14.4,
Jul-69,79.3,,,,,13,,,83.2,,,,,88.5,,,,,5.9,,,26.8,,,,,,106.5,,,,,,,,98.1,,,,,,,,,35.1,,,,,,,11.5,
Aug-69,64.6,,,,,7.5,,,86.1,,,,,64.1,,,,,5,,,24.3,,,,,,105,,,,,,,,94.9,,,,,,,,,32,,,,,,,9.8,
Sep-69,85.4,,,,,8.7,,,90.2,,,,,83.1,,,,,5.6,,,25.1,,,,,,120.4,,,,,,,,118.4,,,,,,,,,36.8,,,,,,,11.7,
Oct-69,87.2,,,,,10.3,,,84.7,,,,,91,,,,,7.3,,,24.6,,,,,,138.9,,,,,,,,113.8,,,,,,,,,39.7,,,,,,,10.7,
Nov-69,70.8,,,,,10.2,,,73.9,,,,,81.7,,,,,6.3,,,26.4,,,,,,127.1,,,,,,,,111.5,,,,,,,,,38.5,,,,,,,8.7,
Dec-69,69,,,,,11.5,,,78.2,,,,,100.2,,,,,6.7,,,26.2,,,,,,139.5,,,,,,,,107,,,,,,,,,39.9,,,,,,,9.9,
Jan-70,87.4,,,,,11.7,,,112.4,,,,,77.8,,,,,7.4,,,31.3,,,,,,143.7,,,,,,,,114.3,,,,,,,,,42.5,,,,,,,11.8,
Feb-70,72.8,,,,,8.9,,,58.7,,,,,69.3,,,,,6.7,,,24.7,,,,,,105.4,,,,,,,,103.4,,,,,,,,,35.1,,,,,,,9.5,
Mar-70,90.2,,,,,7.1,,,72.3,,,,,90.6,,,,,8.1,,,27.6,,,,,,130.5,,,,,,,,129.9,,,,,,,,,43.7,,,,,,,21.4,
Apr-70,73.2,,,,,13.7,,,60.1,,,,,65.3,,,,,11.1,,,30.6,,,,,,148.5,,,,,,,,133.1,,,,,,,,,43.9,,,,,,,12,
May-70,75.6,,,,,10.8,,,56.5,,,,,91.8,,,,,10.9,,,32.6,,,,,,126.8,,,,,,,,135.3,,,,,,,,,44.3,,,,,,,12.9,
Jun-70,78.3,,,,,8.5,,,73.8,,,,,89.8,,,,,11.5,,,35.3,,,,,,129.2,,,,,,,,145.8,,,,,,,,,43.8,,,,,,,13.6,
Jul-70,87.3,,,,,12.4,,,70.9,,,,,91.8,,,,,10,,,36.3,,,,,,133.3,,,,,,,,158.9,,,,,,,,,43.1,,,,,,,11.9,
Aug-70,73.9,,,,,10.3,,,74.1,,,,,76.5,,,,,10.5,,,36.3,,,,,,137.7,,,,,,,,168.2,,,,,,,,,48.2,,,,,,,15.3,
Sep-70,74.7,,,,,9.3,,,71.5,,,,,81.7,,,,,11.8,,,34.3,,,,,,131.6,,,,,,,,141.2,,,,,,,,,42.4,,,,,,,13.3,
Oct-70,78,,,,,8.8,,,65.6,,,,,84.7,,,,,11.6,,,32,,,,,,149,,,,,,,,150.4,,,,,,,,,49.6,,,,,,,12.4,
Nov-70,67.1,,,,,13.5,,,66,,,,,84.7,,,,,12.8,,,32.6,,,,,,155,,,,,,,,157.6,,,,,,,,,51.8,,,,,,,13.1,
Dec-70,91.9,,,,,12.8,,,77,,,,,110.9,,,,,13.6,,,33.3,,,,,,160.1,,,,,,,,180.4,,,,,,,,,50.3,,,,,,,13.7,
Jan-71,87.2,,,,,11.2,,,53.9,,,,,90.1,,,,,12,,,39.3,,,,,,151.1,,,,,,,,151.1,,,,,,,,,43.1,,,,,,,8.5,
Feb-71,76.6,,,,,10.9,,,72,,,,,92.7,,,,,13.9,,,26.6,,,,,,112,,,,,,,,162.2,,,,,,,,,40.6,,,,,,,13.2,
Mar-71,83.7,,,,,12.6,,,82.2,,,,,117.4,,,,,17,,,35.7,,,,,,155.3,,,,,,,,211.4,,,,,,,,,60.5,,,,,,,19.1,
Apr-71,76.6,,,,,11,,,63.7,,,,,103.1,,,,,17.1,,,39.2,,,,,,153.5,,,,,,,,178.6,,,,,,,,,65.5,,,,,,,21.1,
May-71,72.4,,,,,11,,,55.4,,,,,117.5,,,,,19.7,,,33.6,,,,,,144.6,,,,,,,,209.1,,,,,,,,,49.2,,,,,,,14.4,
Jun-71,93.4,,,,,12.2,,,61.1,,,,,99.4,,,,,17.5,,,34.9,,,,,,162.4,,,,,,,,215.4,,,,,,,,,58,,,,,,,18,
Jul-71,76.4,,,,,12,,,68.2,,,,,127.3,,,,,15.5,,,34.8,,,,,,178.3,,,,,,,,189.1,,,,,,,,,57,,,,,,,14,
Aug-71,85.6,,,,,12,,,68.6,,,,,118.8,,,,,18.2,,,41,,,,,,150.2,,,,,,,,174.2,,,,,,,,,57.2,,,,,,,12.4,
Sep-71,87.7,,,,,10.6,,,67,,,,,90.5,,,,,18.1,,,40.8,,,,,,160,,,,,,,,160.4,,,,,,,,,52.4,,,,,,,11.4,
Oct-71,88.2,,,,,11.5,,,67.3,,,,,76.9,,,,,12.6,,,34.9,,,,,,151.6,,,,,,,,198,,,,,,,,,53.2,,,,,,,21.5,
Nov-71,71.5,,,,,11.7,,,65.1,,,,,112.6,,,,,16.5,,,40.2,,,,,,168.8,,,,,,,,166.9,,,,,,,,,54.9,,,,,,,16.2,
Dec-71,75.8,,,,,10.6,,,57.1,,,,,94.4,,,,,18.9,,,36.2,,,,,,161.1,,,,,,,,192.6,,,,,,,,,53.2,,,,,,,13.6,
Jan-72,79.1,,,,,11.5,,,68.7,,,,,97.4,,,,,12.3,,,36.7,,,,,,155.9,,,,,,,,179.9,,,,,,,,,56.1,,,,,,,20.2,
Feb-72,87.4,,,,,8.6,,,70,,,,,106.7,,,,,9.6,,,34.4,,,,,,121.8,,,,,,,,167.2,,,,,,,,,51.1,,,,,,,18.8,
Mar-72,92.4,,,,,13.5,,,64.1,,,,,145.3,,,,,12.2,,,39.8,,,,,,137.3,,,,,,,,209.7,,,,,,,,,61,,,,,,,25.9,
Apr-72,93.2,,,,,11.3,,,56.8,,,,,100.4,,,,,10.9,,,40.5,,,,,,148.8,,,,,,,,181.7,,,,,,,,,60.5,,,,,,,23.1,
May-72,88.3,,,,,11.7,,,62.6,,,,,129.9,,,,,11.1,,,41.3,,,,,,140.2,,,,,,,,241.1,,,,,,,,,71.8,,,,,,,29,
Jun-72,77.2,,,,,10.8,,,62.7,,,,,107.4,,,,,9.3,,,38.4,,,,,,138.3,,,,,,,,225.9,,,,,,,,,56.1,,,,,,,13.5,
Jul-72,75.5,,,,,9.2,,,69.9,,,,,92.6,,,,,11.8,,,36.8,,,,,,146.3,,,,,,,,276.5,,,,,,,,,58.4,,,,,,,14.2,
Aug-72,87.3,,,,,10.7,,,77.3,,,,,128.4,,,,,11.6,,,46,,,,,,181.2,,,,,,,,247.9,,,,,,,,,62.5,,,,,,,14.4,
Sep-72,85.9,,,,,11.4,,,69,,,,,133.9,,,,,14.7,,,37.2,,,,,,176.2,,,,,,,,194,,,,,,,,,57,,,,,,,14.6,
Oct-72,91.5,,,,,8.8,,,75.6,,,,,123.8,,,,,13.1,,,49.1,,,,,,191.7,,,,,,,,237.9,,,,,,,,,60.9,,,,,,,19.1,
Nov-72,85.7,,,,,8.9,,,72.3,,,,,128,,,,,14.5,,,50.6,,,,,,193.7,,,,,,,,244.9,,,,,,,,,65.7,,,,,,,13.9,
Dec-72,93.1,,,,,11.8,,,73.5,,,,,91.4,,,,,17.8,,,50.9,,,,,,183.1,,,,,,,,241.5,,,,,,,,,66.9,,,,,,,17.4,
Jan-73,114.8,,,,,9.7,,,95.2,,,,,142.5,,,,,10,,,44.4,,,,,,189.9,,,,,,,,303.5,,,,,,,,,68.9,,,,,,,14.5,
Feb-73,91.5,,,,,10.6,,,80.7,,,,,113.6,,,,,8.5,,,47.7,,,,,,154.2,,,,,,,,221.3,,,,,,,,,57.5,,,,,,,10.1,
Mar-73,96.9,,,,,8.8,,,106.3,,,,,142.4,,,,,17.1,,,53,,,,,,177.8,,,,,,,,270.5,,,,,,,,,70.9,,,,,,,12.3,
Apr-73,98.4,,,,,7.4,,,70.9,,,,,98.1,,,,,12.8,,,53.9,,,,,,186.6,,,,,,,,259.4,,,,,,,,,68.5,,,,,,,10.8,
May-73,98.5,,,,,10.8,,,104.3,,,,,124,,,,,11.2,,,62.9,,,,,,196,,,,,,,,293.6,,,,,,,,,82,,,,,,,13.6,
Jun-73,87,,,,,9.8,,,125.4,,,,,119,,,,,12,,,59.3,,,,,,208.2,,,,,,,,268.3,,,,,,,,,76.9,,,,,,,14.9,
Jul-73,108.7,,,,,6.6,,,146.1,,,,,153,,,,,14.8,,,56.2,,,,,,208.8,,,,,,,,241.6,,,,,,,,,78.1,,,,,,,14.3,
Aug-73,111.2,,,,,8.5,,,119.3,,,,,152.5,,,,,21.8,,,59.3,,,,,,207.3,,,,,,,,278.5,,,,,,,,,82.5,,,,,,,11.1,
Sep-73,118.9,,,,,10,,,129.5,,,,,130.4,,,,,17.9,,,63.2,,,,,,227.4,,,,,,,,443.1,,,,,,,,,87.1,,,,,,,13,
Oct-73,106.2,,,,,10.5,,,143.3,,,,,133.1,,,,,18.8,,,71.3,,,,,,229.1,,,,,,,,303,,,,,,,,,86.7,,,,,,,17.2,
Nov-73,115.4,,,,,10.6,,,161.3,,,,,152.7,,,,,23.1,,,78.9,,,,,,266.6,,,,,,,,316.7,,,,,,,,,103.1,,,,,,,18.6,
Dec-73,115.3,,,,,9.5,,,178.4,,,,,156.8,,,,,18.5,,,73.5,,,,,,274.7,,,,,,,,298.7,,,,,,,,,95.4,,,,,,,15.5,
Jan-74,145.6,,,,,8.6,,,202.3,,,,,247.8,,,,,23.8,,,80.9,,,,,,278.4,,,,,,,,323.4,,,,,,,,,89.5,,,,,,,12.5,
Feb-74,116.6,,,,,7.3,,,170.1,,,,,309.3,,,,,25.8,,,86.6,,,,,,229.2,,,,,,,,334.2,,,,,,,,,71.7,,,,,,,19.7,
Mar-74,141.3,,,,,9.3,,,185.4,,,,,557.3,,,,,24.7,,,100.6,,,,,,285.4,,,,,,,,416.8,,,,,,,,,110.3,,,,,,,25.6,
Apr-74,137.7,,,,,6.9,,,152.8,,,,,422.2,,,,,20.7,,,115.3,,,,,,310.8,,,,,,,,422.5,,,,,,,,,104.7,,,,,,,19.9,
May-74,155.3,,,,,11.1,,,129.9,,,,,550,,,,,32,,,120.7,,,,,,327.9,,,,,,,,515.1,,,,,,,,,122,,,,,,,15.9,
Jun-74,127.4,,,,,9.8,,,113.1,,,,,424.8,,,,,27.9,,,112.1,,,,,,322.8,,,,,,,,528.4,,,,,,,,,119.2,,,,,,,15.1,
Jul-74,112,,,,,10.1,,,146.2,,,,,470.3,,,,,32.4,,,116,,,,,,298.3,,,,,,,,490.7,,,,,,,,,127.8,,,,,,,17,
Aug-74,131.5,,,,,13,,,127.9,,,,,358,,,,,32,,,122.5,,,,,,331.6,,,,,,,,506.5,,,,,,,,,138.6,,,,,,,24.4,
Sep-74,130.6,,,,,9.9,,,109.2,,,,,451.3,,,,,35.6,,,99.3,,,,,,295.2,,,,,,,,468.7,,,,,,,,,121.2,,,,,,,24.4,
Oct-74,108.2,,,,,10.5,,,114.2,,,,,434.1,,,,,38,,,107.2,,,,,,339.7,,,,,,,,463.5,,,,,,,,,116.7,,,,,,,17.7,
Nov-74,133.9,,,,,11.9,,,102.6,,,,,404.3,,,,,51,,,93.8,,,,,,287.8,,,,,,,,511.7,,,,,,,,,111.5,,,,,,,17.9,
Dec-74,111.3,,,,,9.4,,,94.8,,,,,268.5,,,,,47.5,,,65.5,,,,,,284.8,,,,,,,,424.3,,,,,,,,,112.7,,,,,,,23.6,
Jan-75,128.9,,,,,10.1,,,91.1,,,,,378.9,,,,,35.1,,,128.4,,,,,,321.2,,,,,,,,469.1,,,,,,,,,111.7,,,,,,,21.5,
Feb-75,112,,,,,9,,,79.9,,,,,482.4,,,,,23,,,88.7,,,,,,253.9,,,,,,,,402.9,,,,,,,,,87.7,,,,,,,21.3,
Mar-75,127.1,,,,,8.3,,,85.7,,,,,388,,,,,35.2,,,129.1,,,,,,286.7,,,,,,,,391.8,,,,,,,,,102.2,,,,,,,23.6,
Apr-75,127.9,,,,,11.8,,,85.8,,,,,454.1,,,,,24,,,79.1,,,,,,309.7,,,,,,,,388.7,,,,,,,,,98.2,,,,,,,19,
May-75,144.6,,,,,10.9,,,81.5,,,,,376.5,,,,,17,,,99.5,,,,,,297.1,,,,,,,,427.1,,,,,,,,,107.7,,,,,,,28.5,
Jun-75,128.5,,,,,10.2,,,88.8,,,,,202.7,,,,,16.6,,,110.5,,,,,,288,,,,,,,,447.8,,,,,,,,,107.9,,,,,,,23.5,
Jul-75,120.2,,,,,9.2,,,113.8,,,,,412.7,,,,,16.5,,,91,,,,,,306.1,,,,,,,,392.1,,,,,,,,,108.5,,,,,,,23.3,
Aug-75,141.6,,,,,13.8,,,117.7,,,,,397.1,,,,,14.6,,,77.6,,,,,,294.8,,,,,,,,379.1,,,,,,,,,109.6,,,,,,,24.1,
Sep-75,184,,,,,12.9,,,118.4,,,,,372.5,,,,,14.9,,,77.8,,,,,,313.4,,,,,,,,451,,,,,,,,,122.1,,,,,,,26.4,
Oct-75,147.2,,,,,9.8,,,135,,,,,433.1,,,,,15.9,,,79.9,,,,,,295.5,,,,,,,,450.4,,,,,,,,,128.2,,,,,,,20.1,
Nov-75,144.2,,,,,11.2,,,104.4,,,,,443.6,,,,,12.6,,,70.2,,,,,,265.8,,,,,,,,404.7,,,,,,,,,120.2,,,,,,,17.5,
Dec-75,148.2,,,,,13.4,,,127.1,,,,,392.5,,,,,16.7,,,87.7,,,,,,278,,,,,,,,441.3,,,,,,,,,127.4,,,,,,,24.1,
Jan-76,141.217,43.133,11.533,12.655,11.036,16.048,11.182,4.866,149.978,1.092,98.601,5.769,7.058,516.262,515.623,515.623,0.638,0.001,18.495,2.951,15.009,89.95,10.258,13.38,0,0,10.791,304.094,77.464,43.376,14.746,29.55,17.642,7.56,105.993,436.514,11.874,51.033,149.462,,,,,,135.501,49.652,16.066,36.614,16.483,3.237,49.652,22.92,
Feb-76,133.296,35.846,9.904,8.589,15.197,8.175,4.401,3.774,168.627,0.319,117.942,6.105,8.307,444.066,443.305,443.305,0.748,0.013,15.501,2.764,12.622,81.315,7.004,17.042,0,0,9.15,207.95,43.091,30.435,10.733,29.403,13.659,5.302,68.121,465.608,11.8,31.124,122.883,,,,,,114.998,36.597,12.85,40.496,12.328,2.36,36.597,19.453,
Mar-76,135.612,30.562,13.371,12.921,18.712,11.606,7.728,3.878,160.921,1.092,111.29,4.2,7.148,381.966,381.857,381.857,0.105,0.004,23.948,5.131,17.882,99.335,9.621,18.453,0,0,10.068,260.776,52.159,38.208,14.336,30.163,16.733,6.583,93.482,560.727,13.502,45.198,166.165,,,,,,123.446,41.498,15.415,39.912,13.13,2.927,41.498,22.999,
